timestamp,ethAddress,accountValue,displayName,prize,day_pnl,day_roi,day_volume,week_pnl,week_roi,week_volume,month_pnl,month_roi,month_volume,allTime_pnl,allTime_roi,allTime_volume
2025-06-07T12:24:47.505012,0x162cc7c861ebd0c06b3d72319201150482518185,23908078.899125,ABC,0,357957.687584,0.0188192346,924093767.6756089,1488134.3938570002,0.0555306312,8072749811.597386,6515343.116230999,0.2500966344,42269728962.47318,20606260.797286,1.3756447993,122815985900.80225
2025-06-07T12:24:47.505043,0x7b7f72a28fe109fa703eeed7984f2a8a68fedee2,4302607.87789,beatmaker1@proton.me,0,226109.127156,0.0605611375,466388206.6182,-300709.069781,-0.0653244331,3480153667.84885,-1681418.785191,-0.2809845076,25075343868.79003,-2512232.477264,-0.3686414276,60458879196.58386
2025-06-07T12:24:47.505063,0xff4cd3826ecee12acd4329aada4a2d3419fc463c,25665342.416545004,,0,633745.503348,0.0306584218,286418716.410108,816249.6200229998,0.0328482664,2357341873.867919,3925274.2540279995,0.1805548274,21388522233.056747,22222178.165703,2.4295177119,94788432156.41434
2025-06-07T12:24:47.505080,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,106394435.595345,,0,-597947.450878,-0.0104582827,175570350.258119,1997748.406973,0.0151881333,1939991360.950617,11215816.353886,0.062847731,17113611017.75841,91573407.41926,0.9072362101,116828137058.86995
2025-06-07T12:24:47.505094,0x5078c2fbea2b2ad61bc840bc023e35fce56bedb6,7.136755,JamesWynn $moonpig,0,0.437958,6.195e-07,0.0,-2698927.530503,-0.6880644904,297952815.7966,-30218298.256182,-0.9471003578,15840802709.157394,-20480803.830477,-0.9238643681,17837056812.88141
2025-06-07T12:24:47.505120,0x023a3d058020fb76cca98f01b3c48c8938a22355,17356496.607158,Auros,0,-94563.927525,-0.0054188069,350376830.493884,-202236.280424,-0.0089545743,2610878785.167636,1947468.623081,0.0527655246,15089944752.401217,33407340.813832,1.9854347394,138729487492.97827
2025-06-07T12:24:47.505133,0x81196517de1d77ebc8a1951c3ea1a103e732479c,7762210.927293001,infinitefield.xyz,0,-7557.796472,-0.002607791,106282411.74860102,310051.5748940001,0.0355523868,1633284985.102828,1579759.623441,0.1662677818,14109715385.51928,6161854.029746998,2.1114303832,131589515443.83813
2025-06-07T12:24:47.505144,0xe357fa9fecb084f0303ff341b0bc55c89f2bb5ce,24463743.273342002,,0,91747.605447,0.0052413742,297990580.262885,64592.266074,0.0026473161,2279345529.73821,4712924.363392,0.2358724327,12002309089.119617,6399484.393363,0.3460210705,16257523590.000309
2025-06-07T12:24:47.505155,0xad8be12a452b5b8f9ad9883f6e8e67536627db4b,902534.4973800002,,0,28296.070025,0.0323665366,269080668.643938,124744.535848,0.1024022283,1896177084.445965,555195.9454130001,0.6299462836,11247856887.118654,8329792.835825002,29.8241293243,81942249153.196
2025-06-07T12:24:47.505169,0x89c645ecbd07825b194e3b98300eb3497aaba406,7946133.263486,,0,10632.323248,0.0061024514,322296084.26427,454215.845743,0.0590502883,2429357837.01209,2222968.5260009994,0.3687576154,10836022276.500893,7906795.501806,2.8757743378,58945341393.18639
